Created_at;Fakultas;Tahun;Tahun Data;Anggaran;Serapan;id;kodeunit;namaunit;bulan;jumlah;tahun;created_at
18/09/2023 10:29;FKG;2021;01/01/2021;12078204075;10201100211;21;10200;FKG;9;1643076266;2019;18/09/2023 10:27
18/09/2023 10:29;FKG;2020;01/01/2020;10834774500;10023901547;21;10200;FKG;9;1643076266;2019;18/09/2023 10:27
18/09/2023 10:29;FKG;2019;01/01/2019;9933332188;9713613896;21;10200;FKG;9;1643076266;2019;18/09/2023 10:27
18/09/2023 10:30;FKG;2023;01/01/2023;17093574138;8177689226;22;10200;FKG;10;2018658851;2019;18/09/2023 10:27
18/09/2023 10:30;FKG;2022;01/01/2022;29691256306;14520690015;22;10200;FKG;10;2018658851;2019;18/09/2023 10:27
18/09/2023 10:29;FKG;2021;01/01/2021;12078204075;10201100211;22;10200;FKG;10;2018658851;2019;18/09/2023 10:27
18/09/2023 10:29;FKG;2020;01/01/2020;10834774500;10023901547;22;10200;FKG;10;2018658851;2019;18/09/2023 10:27
18/09/2023 10:29;FKG;2019;01/01/2019;9933332188;9713613896;22;10200;FKG;10;2018658851;2019;18/09/2023 10:27
18/09/2023 10:30;FKG;2023;01/01/2023;17093574138;8177689226;23;10200;FKG;11;2002655396;2019;18/09/2023 10:27
18/09/2023 10:30;FKG;2022;01/01/2022;29691256306;14520690015;23;10200;FKG;11;2002655396;2019;18/09/2023 10:27
18/09/2023 10:29;FKG;2021;01/01/2021;12078204075;10201100211;23;10200;FKG;11;2002655396;2019;18/09/2023 10:27
18/09/2023 10:29;FKG;2020;01/01/2020;10834774500;10023901547;23;10200;FKG;11;2002655396;2019;18/09/2023 10:27
18/09/2023 10:29;FKG;2019;01/01/2019;9933332188;9713613896;23;10200;FKG;11;2002655396;2019;18/09/2023 10:27
18/09/2023 10:30;FKG;2023;01/01/2023;17093574138;8177689226;24;10200;FKG;12;4032909701;2019;18/09/2023 10:27
18/09/2023 10:30;FKG;2022;01/01/2022;29691256306;14520690015;24;10200;FKG;12;4032909701;2019;18/09/2023 10:27
18/09/2023 10:29;FKG;2021;01/01/2021;12078204075;10201100211;24;10200;FKG;12;4032909701;2019;18/09/2023 10:27
18/09/2023 10:29;FKG;2020;01/01/2020;10834774500;10023901547;24;10200;FKG;12;4032909701;2019;18/09/2023 10:27
18/09/2023 10:29;FKG;2019;01/01/2019;9933332188;9713613896;24;10200;FKG;12;4032909701;2019;18/09/2023 10:27
18/09/2023 10:30;FH;2023;01/01/2023;14261572807;6094166660;25;10300;FH;1;446825898;2019;18/09/2023 10:27
18/09/2023 10:30;FH;2022;01/01/2022;21332683824;9246324588;25;10300;FH;1;446825898;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2021;01/01/2021;11502479846;5750966470;25;10300;FH;1;446825898;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2020;01/01/2020;10552737600;5840632567;25;10300;FH;1;446825898;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2019;01/01/2019;8420482789;8051476659;25;10300;FH;1;446825898;2019;18/09/2023 10:27
18/09/2023 10:30;FH;2023;01/01/2023;14261572807;6094166660;26;10300;FH;2;655011329;2019;18/09/2023 10:27
18/09/2023 10:30;FH;2022;01/01/2022;21332683824;9246324588;26;10300;FH;2;655011329;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2021;01/01/2021;11502479846;5750966470;26;10300;FH;2;655011329;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2020;01/01/2020;10552737600;5840632567;26;10300;FH;2;655011329;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2019;01/01/2019;8420482789;8051476659;26;10300;FH;2;655011329;2019;18/09/2023 10:27
